Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
9. MAGIC Gamma Telescope,MAGIC,CTABGAN,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.995642,excel_sheets_privacy_hungarian_matching,0.998616,0.90943,0.999903,
9. MAGIC Gamma Telescope,MAGIC,ForestDiffusion,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.992639,excel_sheets_privacy_hungarian_matching,0.997047,0.870135,0.999998,
9. MAGIC Gamma Telescope,MAGIC,TabDDPM,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.923839,excel_sheets_privacy_hungarian_matching,0.988421,0.351964,0.999718,
8. Mushroom dataset,Mushroom,WGAN_GP,1000.0,excel sheets/2. Privacy/8. Mushroom dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.864065,excel_sheets_privacy_hungarian_matching,0.985946,-0.760011,0.999972,
7. CDC diabetes dataset,CDC_Diabetes,ForestDiffusion,1000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.995394,excel_sheets_privacy_hungarian_matching,0.997512,0.952595,1.0,
7. CDC diabetes dataset,CDC_Diabetes,TabDDPM,1000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.946035,excel_sheets_privacy_hungarian_matching,0.955151,0.792585,0.999135,
8. Mushroom dataset,Mushroom,CTABGAN,1000.0,excel sheets/2. Privacy/8. Mushroom dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.9666,excel_sheets_privacy_hungarian_matching,0.966616,0.865857,0.99944,
7. CDC diabetes dataset,CDC_Diabetes,WGAN_GP,1000.0,excel sheets/2. Privacy/7. CDC diabetes dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.982831,excel_sheets_privacy_hungarian_matching,0.989717,0.889096,0.999401,
8. Mushroom dataset,Mushroom,ForestDiffusion,1000.0,excel sheets/2. Privacy/8. Mushroom dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.988409,excel_sheets_privacy_hungarian_matching,0.998036,0.652704,0.999999,
8. Mushroom dataset,Mushroom,TabDDPM,1000.0,excel sheets/2. Privacy/8. Mushroom dataset/Hungarian_Matching.xlsx,Hungarian,Cosine Similarity,0.810579,excel_sheets_privacy_hungarian_matching,0.891639,0.442411,1.0,
